date,year,country_code,name,description,primary_type,types,locations,strength
10/9/09,2009,GB,Hoshana Rabbah,"Jewish people in the UK celebrate Hoshana Rabbah, also spelled Hoshana Raba, on the last day of the Sukkot festival.",Jewish Holiday,Observance|Hebrew,All,1
10/10/09,2009,GB,Shemini Atzeret,"Shemini Atzeret, also spelled Shmini Atzeret, is a joyous Jewish holiday that immediately follows the Sukkot festival.",Jewish Holiday,Observance|Hebrew,All,1
10/11/09,2009,GB,Simchat Torah,Simchat Torah (Simchas Torah or Simhat Torah) is a Jewish holiday that celebrates the completion of the annual reading of the Torah.,Jewish Holiday,Observance|Hebrew,All,1
10/17/09,2009,GB,Diwali/Deepavali,"Diwali, also known as the Festival of Lights, marks the beginning of the Hindu New Year.",Hindu Holiday,Observance|Hinduism,All,1
11/1/09,2009,GB,All Saints' Day,"Many Christians in the United Kingdom observe All Saints' Day, also known as All Hallows' Day, each year.",Christian,Observance|Christian,All,1
11/2/09,2009,GB,All Souls' Day,All Souls’ Day is observed among some Christian communities in the United Kingdom on November 2 each year.,Christian,Observance|Christian,All,1
11/28/09,2009,GB,Eid al-Adha,Eid ul-Adha is an Islamic festival to remember Ibrahim's willingness to sacrifice his son to God.,Muslim,Observance|Muslim,All,1
11/29/09,2009,GB,First Sunday of Advent,The first Sunday in Advent is the start of the liturgical or church year for many Christians as well as the Christmas season for people in the United Kingdom (UK).,Christian,Observance|Christian,All,1
12/8/09,2009,GB,Feast of the Immaculate Conception,"The Feast of the Immaculate Conception celebrates the conception of Mary, mother of Jesus Christ, on December 8 each year.",Christian,Observance|Christian,All,1
12/12/09,2009,GB,First Day of Hanukkah,Jewish people around the world celebrate Hanukkah to commemorate an event traditionally termed the miracle of the cruse of oil.,Jewish Holiday,Observance|Hebrew,All,1
12/18/09,2009,GB,Muharram,"The first day of Muharram, which is the first month in the Islamic calendar, marks the Islamic New Year.",Muslim,Observance|Muslim,All,1
12/19/09,2009,GB,Last day of Hanukkah,The eighth and last day of Hanukkah marks the end of a period in which Jews commemorate the miracle of the cruse of oil.,Jewish Holiday,Observance|Hebrew,All,1
12/24/09,2009,GB,Christmas Eve,"Christmas Eve is the day before Christmas Day. It is not a public holiday in England, Scotland, Wales or Northern Ireland.",Christian,Observance|Christian,All,1
12/27/09,2009,GB,Ashura,"On Ashura, many Muslims commemorate the martyrdom of Imam Husayn ibn Ali.",Muslim,Observance|Muslim,All,1
1/5/10,2010,GB,Twelfth Night,Twelfth Night is a observance and Christian holiday in the United Kingdom,Christian,Observance|Christian,All,1
1/6/10,2010,GB,Epiphany,Epiphany marks the visit of the Magi to Jesus and celebrates the revelation of God incarnate as Jesus Christ.,Christian,Observance|Christian,All,1
1/7/10,2010,GB,Orthodox Christmas Day,Orthodox Christians in the United Kingdom celebrate the Nativity of Christ (Jesus' birth) on the Orthodox Christmas Day.,Orthodox,Observance|Orthodox,All,1
1/14/10,2010,GB,Orthodox New Year,Orthodox Christians in the United Kingdom mark the start of a new calendar year on either January 1 or 14 in the Gregorian calendar.,Orthodox,Observance|Orthodox,All,1
1/30/10,2010,GB,Tu B'Shevat,"Tu B’Shevat is known as the “New Year for Trees”, is one of the four Jewish New Years.",Jewish Holiday,Observance|Hebrew,All,1
2/11/10,2010,GB,Maha Shivaratri,"Maha Shivratri is an annual festival dedicated to Shiva, the Hindu God of destruction. For devotees, is a day of reflection and meditation.",Hindu Holiday,Observance|Hinduism,All,1
2/16/10,2010,GB,Carnival / Shrove Tuesday / Pancake Day,Shrove Tuesday is also known as Pancake Tuesday in the United Kingdom.,Christian,Observance|Christian,All,1
2/17/10,2010,GB,Carnival / Ash Wednesday,Ash Wednesday is a Christian observance in the United Kingdom. It is the first day of Lent.,Christian,Observance|Christian,All,1
2/26/10,2010,GB,Milad un Nabi,"Milad un Nabi, also called Mawlid, marks the birthday of prophet Muhammad.",Muslim,Observance|Muslim,All,1
2/28/10,2010,GB,Holi,"Holi is a spring festival of colors celebrated by Hindus, Sikhs and others. It celebrates the triumph of good over evil and the upcoming season of spring. The festival can last up to sixteen days.",Hindu Holiday,Observance|Hinduism,All,1
2/28/10,2010,GB,Purim,"Purim commemorates a time when Jewish people were saved from death around the fourth century BCE, according to the Book of Esther.",Jewish Holiday,Observance|Hebrew,All,1
3/28/10,2010,GB,Palm Sunday,Palm Sunday in the United Kingdom celebrates Jesus Christ’s entry into Jerusalem. It is also the Sunday before Easter Sunday.,Christian,Observance|Christian,All,1
3/30/10,2010,GB,First day of Passover,Passover marks the Israelites' liberation from slavery and their exodus from Egypt around 3000 years ago.,Jewish Holiday,Observance|Hebrew,All,1
4/1/10,2010,GB,Maundy Thursday,Many Christians in the United Kingdom celebrate Maundy Thursday on the Thursday before Good Friday.,Christian,Observance|Christian,All,1
4/2/10,2010,GB,Orthodox Good Friday,"Many Orthodox Christians in the United Kingdom remember the events leading up to Jesus Christ's crucifixion on Great Friday, also known as Holy Friday.",Orthodox,Observance|Orthodox,All,1
4/3/10,2010,GB,Holy Saturday,Holy Saturday is the day before Easter Sunday in the United Kingdom.,Christian,Observance|Christian,All,1
4/3/10,2010,GB,Orthodox Holy Saturday,Many Orthodox Christians in the United Kingdom remember Jesus Christ’s burial and his descent into Hades on Holy Saturday.,Orthodox,Observance|Orthodox,All,1
4/4/10,2010,GB,Orthodox Easter,"Many Orthodox Christians in the United Kingdom commemorate Jesus Christ’s resurrection on Easter Day, also known as Pascha.",Orthodox,Observance|Orthodox,All,1
4/4/10,2010,GB,Easter Sunday,Easter Sunday commemorates Jesus Christ's resurrection. The Easter egg hunt is one of the most popular Easter traditions,Christian,Observance|Christian,All,1
4/5/10,2010,GB,Orthodox Easter Monday,Many Orthodox churches in the United Kingdom observe Easter Monday on the day after the Orthodox Easter Sunday date.,Orthodox,Observance|Orthodox,All,1
4/6/10,2010,GB,Last day of Passover,"On the 8th and last day of Passover, Jews in the UK commemorate the Parting of the Red Sea and the Israelites' escape from Egypt.",Jewish Holiday,Observance|Hebrew,All,1
4/20/10,2010,GB,Yom HaAtzmaut,"Celebrated on the fifth day of the Jewish month of Iyar, Yom Ha’Atzmaut is Israel’s Independence Day.",Jewish Holiday,Observance|Hebrew,All,1
5/2/10,2010,GB,Lag B'Omer,Jewish people observe Lag BaOmer on the 18th day of the month of Iyar in the Jewish calendar.,Jewish Holiday,Observance|Hebrew,All,1
5/13/10,2010,GB,Ascension Day,"Ascension Day is the 40th day of Easter and commemorates Jesus Christ’s ascension into heaven, according to Christian belief.",Christian,Observance|Christian,All,1
5/19/10,2010,GB,Shavuot,"Shavuot, also known as the Festival of Weeks, is one of three major Jewish festivals celebrated among Jewish people in the UK.",Jewish Holiday,Observance|Hebrew,All,1
5/23/10,2010,GB,Pentecost,"Many Christians in the United Kingdom observe Pentecost, also known as Whitsunday or Whit Sunday.",Christian,Observance|Christian,All,1
5/24/10,2010,GB,Whit Monday,"Whit Monday is a Christian observance also known as Pentecost Monday. It is the day after Pentecost, or Whitsunday.",Christian,Observance|Christian,All,1
5/30/10,2010,GB,Trinity Sunday,"Trinity Sunday, which is the first Sunday after Pentecost, is a Christian feast that is observed in many churches in the United Kingdom.",Christian,Observance|Christian,All,1
6/3/10,2010,GB,Corpus Christi,Corpus Christi is a Christian observance that honors the Holy Eucharist.,Christian,Observance|Christian,All,1
7/9/10,2010,GB,Isra and Mi'raj,"Isra and Mi'raj (Isra Me'raj, Israa and Mi'raaj, Laylat Al-Isra wa Al-Miraj, Lailat al Miraj, Night Journey and Ascension to Heaven) marks the night that the Prophet Mohammad traveled from Mecca to Jerusalem, ascended to heaven and returned.",Muslim,Observance|Muslim,All,1
7/20/10,2010,GB,Tisha B'Av,"Tisha B’Av is a Jewish day of mourning, which falls on the ninth day of the month of Av in the Jewish calendar.",Jewish Holiday,Observance|Hebrew,All,1
8/11/10,2010,GB,Ramadan Start,"Muslims in the United Kingdom welcome Ramadan as a period of fasting, self-evaluation, and spiritual growth.",Muslim,Observance|Muslim,All,1
8/15/10,2010,GB,Assumption of Mary,The feast of the Dormition or Assumption of the Blessed Virgin Mary is celebrated by some Christian denominations in the United Kingdom on August 15.,Christian,Observance|Christian,All,1
8/24/10,2010,GB,Raksha Bandhan,Raksha Bandhan is a Hindu festival that is celebrated on the full moon of the Hindu month of Shravana (Shravan Poornima). The day is also sometimes referred to as Brother and Sister Day because it honors the relationship between brother and sister.,Hindu Holiday,Observance|Hinduism,All,1
9/1/10,2010,GB,Janmashtami,"Krishna Janmashtami is a Hindu festival that celebrates the birth of Krishna, the eighth incarnation of the god Vishnu. It is celebrated on the eighth day of the Hindu month of Bhadrava (Bhadrapada), which is usually in August or September.",Hindu Holiday,Observance|Hinduism,All,1
9/5/10,2010,GB,Lailat al-Qadr,"Laylatul Qadr, the Night of Power, is the holiest day of the Islamic calendar year.",Muslim,Observance|Muslim,All,1
9/9/10,2010,GB,Rosh Hashana,"Rosh Hashanah, also spelled Rosh Hashana, is commonly known as the Jewish New Year.",Jewish Holiday,Observance|Hebrew,All,1
9/10/10,2010,GB,Eid ul Fitr,Eid ul-Fitr is a Muslim celebration that marks the end of the month-long fast of Ramadan.,Muslim,Observance|Muslim,All,1
9/11/10,2010,GB,Ganesh Chaturthi,"Ganesh Chaturthi is the great Ganesha festival that celebrates the birthday of Lord Ganesha during the Hindu Month of Bhadra, which usually falls between mid-August and mid-September. It is also known as Vinayaka Chaturthi and can last up to 10 days.",Hindu Holiday,Observance|Hinduism,All,1
9/18/10,2010,GB,Yom Kippur,Yom Kippur is arguably the holiest of the Jewish holidays. It is celebrated in October or November.,Jewish Holiday,Observance|Hebrew,All,1
9/23/10,2010,GB,First day of Sukkot,"Sukkot is a Jewish holiday lasting 7 days. It begins on the 15th of Tishrei, which falls into September or October.",Jewish Holiday,Observance|Hebrew,All,1
9/29/10,2010,GB,Hoshana Rabbah,"Jewish people in the UK celebrate Hoshana Rabbah, also spelled Hoshana Raba, on the last day of the Sukkot festival.",Jewish Holiday,Observance|Hebrew,All,1
9/30/10,2010,GB,Shemini Atzeret,"Shemini Atzeret, also spelled Shmini Atzeret, is a joyous Jewish holiday that immediately follows the Sukkot festival.",Jewish Holiday,Observance|Hebrew,All,1
10/1/10,2010,GB,Simchat Torah,Simchat Torah (Simchas Torah or Simhat Torah) is a Jewish holiday that celebrates the completion of the annual reading of the Torah.,Jewish Holiday,Observance|Hebrew,All,1
10/4/10,2010,GB,Feast of St Francis of Assisi,"Many churches in the United Kingdom celebrate the Feast of St Francis of Assisi to honor St Francis, the patron saint of animals and the environment, on October 4 each year.",Christian,Observance|Christian,All,1
10/8/10,2010,GB,Navaratri,Navaratri is a Hindu holiday in the United Kingdom,Hindu Holiday,Observance|Hinduism,All,1
10/16/10,2010,GB,Dussehra,Dussehra is a Hindu holiday in the United Kingdom,Hindu Holiday,Observance|Hinduism,All,1
11/1/10,2010,GB,All Saints' Day,"Many Christians in the United Kingdom observe All Saints' Day, also known as All Hallows' Day, each year.",Christian,Observance|Christian,All,1
11/2/10,2010,GB,All Souls' Day,All Souls’ Day is observed among some Christian communities in the United Kingdom on November 2 each year.,Christian,Observance|Christian,All,1
11/5/10,2010,GB,Diwali/Deepavali,"Diwali, also known as the Festival of Lights, marks the beginning of the Hindu New Year.",Hindu Holiday,Observance|Hinduism,All,1
11/17/10,2010,GB,Eid al-Adha,Eid ul-Adha is an Islamic festival to remember Ibrahim's willingness to sacrifice his son to God.,Muslim,Observance|Muslim,All,1
11/28/10,2010,GB,First Sunday of Advent,The first Sunday in Advent is the start of the liturgical or church year for many Christians as well as the Christmas season for people in the United Kingdom (UK).,Christian,Observance|Christian,All,1
12/2/10,2010,GB,First Day of Hanukkah,Jewish people around the world celebrate Hanukkah to commemorate an event traditionally termed the miracle of the cruse of oil.,Jewish Holiday,Observance|Hebrew,All,1
12/8/10,2010,GB,Feast of the Immaculate Conception,"The Feast of the Immaculate Conception celebrates the conception of Mary, mother of Jesus Christ, on December 8 each year.",Christian,Observance|Christian,All,1
12/8/10,2010,GB,Muharram,"The first day of Muharram, which is the first month in the Islamic calendar, marks the Islamic New Year.",Muslim,Observance|Muslim,All,1
12/9/10,2010,GB,Last day of Hanukkah,The eighth and last day of Hanukkah marks the end of a period in which Jews commemorate the miracle of the cruse of oil.,Jewish Holiday,Observance|Hebrew,All,1
12/17/10,2010,GB,Ashura,"On Ashura, many Muslims commemorate the martyrdom of Imam Husayn ibn Ali.",Muslim,Observance|Muslim,All,1
12/24/10,2010,GB,Christmas Eve,"Christmas Eve is the day before Christmas Day. It is not a public holiday in England, Scotland, Wales or Northern Ireland.",Christian,Observance|Christian,All,1
1/5/11,2011,GB,Twelfth Night,Twelfth Night is a observance and Christian holiday in the United Kingdom,Christian,Observance|Christian,All,1
1/6/11,2011,GB,Epiphany,Epiphany marks the visit of the Magi to Jesus and celebrates the revelation of God incarnate as Jesus Christ.,Christian,Observance|Christian,All,1
1/7/11,2011,GB,Orthodox Christmas Day,Orthodox Christians in the United Kingdom celebrate the Nativity of Christ (Jesus' birth) on the Orthodox Christmas Day.,Orthodox,Observance|Orthodox,All,1
1/14/11,2011,GB,Orthodox New Year,Orthodox Christians in the United Kingdom mark the start of a new calendar year on either January 1 or 14 in the Gregorian calendar.,Orthodox,Observance|Orthodox,All,1
1/20/11,2011,GB,Tu B'Shevat,"Tu B’Shevat is known as the “New Year for Trees”, is one of the four Jewish New Years.",Jewish Holiday,Observance|Hebrew,All,1
2/16/11,2011,GB,Milad un Nabi,"Milad un Nabi, also called Mawlid, marks the birthday of prophet Muhammad.",Muslim,Observance|Muslim,All,1
3/2/11,2011,GB,Maha Shivaratri,"Maha Shivratri is an annual festival dedicated to Shiva, the Hindu God of destruction. For devotees, is a day of reflection and meditation.",Hindu Holiday,Observance|Hinduism,All,1
3/8/11,2011,GB,Carnival / Shrove Tuesday / Pancake Day,Shrove Tuesday is also known as Pancake Tuesday in the United Kingdom.,Christian,Observance|Christian,All,1
3/9/11,2011,GB,Carnival / Ash Wednesday,Ash Wednesday is a Christian observance in the United Kingdom. It is the first day of Lent.,Christian,Observance|Christian,All,1
3/20/11,2011,GB,Holi,"Holi is a spring festival of colors celebrated by Hindus, Sikhs and others. It celebrates the triumph of good over evil and the upcoming season of spring. The festival can last up to sixteen days.",Hindu Holiday,Observance|Hinduism,All,1
3/20/11,2011,GB,Purim,"Purim commemorates a time when Jewish people were saved from death around the fourth century BCE, according to the Book of Esther.",Jewish Holiday,Observance|Hebrew,All,1
4/17/11,2011,GB,Palm Sunday,Palm Sunday in the United Kingdom celebrates Jesus Christ’s entry into Jerusalem. It is also the Sunday before Easter Sunday.,Christian,Observance|Christian,All,1
4/19/11,2011,GB,First day of Passover,Passover marks the Israelites' liberation from slavery and their exodus from Egypt around 3000 years ago.,Jewish Holiday,Observance|Hebrew,All,1
4/21/11,2011,GB,Maundy Thursday,Many Christians in the United Kingdom celebrate Maundy Thursday on the Thursday before Good Friday.,Christian,Observance|Christian,All,1
4/22/11,2011,GB,Orthodox Good Friday,"Many Orthodox Christians in the United Kingdom remember the events leading up to Jesus Christ's crucifixion on Great Friday, also known as Holy Friday.",Orthodox,Observance|Orthodox,All,1
4/23/11,2011,GB,Holy Saturday,Holy Saturday is the day before Easter Sunday in the United Kingdom.,Christian,Observance|Christian,All,1
4/23/11,2011,GB,Orthodox Holy Saturday,Many Orthodox Christians in the United Kingdom remember Jesus Christ’s burial and his descent into Hades on Holy Saturday.,Orthodox,Observance|Orthodox,All,1
4/24/11,2011,GB,Orthodox Easter,"Many Orthodox Christians in the United Kingdom commemorate Jesus Christ’s resurrection on Easter Day, also known as Pascha.",Orthodox,Observance|Orthodox,All,1
4/24/11,2011,GB,Easter Sunday,Easter Sunday commemorates Jesus Christ's resurrection. The Easter egg hunt is one of the most popular Easter traditions,Christian,Observance|Christian,All,1
4/25/11,2011,GB,Orthodox Easter Monday,Many Orthodox churches in the United Kingdom observe Easter Monday on the day after the Orthodox Easter Sunday date.,Orthodox,Observance|Orthodox,All,1
4/26/11,2011,GB,Last day of Passover,"On the 8th and last day of Passover, Jews in the UK commemorate the Parting of the Red Sea and the Israelites' escape from Egypt.",Jewish Holiday,Observance|Hebrew,All,1
5/2/11,2011,GB,St. George's Day,"St George's Day in England is a celebration of Saint George, a Christian martyr and soldier in the Roman army.",Christian,Observance|Christian,All,1
5/10/11,2011,GB,Yom HaAtzmaut,"Celebrated on the fifth day of the Jewish month of Iyar, Yom Ha’Atzmaut is Israel’s Independence Day.",Jewish Holiday,Observance|Hebrew,All,1
5/22/11,2011,GB,Lag B'Omer,Jewish people observe Lag BaOmer on the 18th day of the month of Iyar in the Jewish calendar.,Jewish Holiday,Observance|Hebrew,All,1
6/2/11,2011,GB,Ascension Day,"Ascension Day is the 40th day of Easter and commemorates Jesus Christ’s ascension into heaven, according to Christian belief.",Christian,Observance|Christian,All,1
6/8/11,2011,GB,Shavuot,"Shavuot, also known as the Festival of Weeks, is one of three major Jewish festivals celebrated among Jewish people in the UK.",Jewish Holiday,Observance|Hebrew,All,1
6/12/11,2011,GB,Pentecost,"Many Christians in the United Kingdom observe Pentecost, also known as Whitsunday or Whit Sunday.",Christian,Observance|Christian,All,1
6/13/11,2011,GB,Whit Monday,"Whit Monday is a Christian observance also known as Pentecost Monday. It is the day after Pentecost, or Whitsunday.",Christian,Observance|Christian,All,1
6/19/11,2011,GB,Trinity Sunday,"Trinity Sunday, which is the first Sunday after Pentecost, is a Christian feast that is observed in many churches in the United Kingdom.",Christian,Observance|Christian,All,1
6/23/11,2011,GB,Corpus Christi,Corpus Christi is a Christian observance that honors the Holy Eucharist.,Christian,Observance|Christian,All,1
6/29/11,2011,GB,Isra and Mi'raj,"Isra and Mi'raj (Isra Me'raj, Israa and Mi'raaj, Laylat Al-Isra wa Al-Miraj, Lailat al Miraj, Night Journey and Ascension to Heaven) marks the night that the Prophet Mohammad traveled from Mecca to Jerusalem, ascended to heaven and returned.",Muslim,Observance|Muslim,All,1
8/1/11,2011,GB,Ramadan Start,"Muslims in the United Kingdom welcome Ramadan as a period of fasting, self-evaluation, and spiritual growth.",Muslim,Observance|Muslim,All,1
8/9/11,2011,GB,Tisha B'Av,"Tisha B’Av is a Jewish day of mourning, which falls on the ninth day of the month of Av in the Jewish calendar.",Jewish Holiday,Observance|Hebrew,All,1
8/13/11,2011,GB,Raksha Bandhan,Raksha Bandhan is a Hindu festival that is celebrated on the full moon of the Hindu month of Shravana (Shravan Poornima). The day is also sometimes referred to as Brother and Sister Day because it honors the relationship between brother and sister.,Hindu Holiday,Observance|Hinduism,All,1
8/15/11,2011,GB,Assumption of Mary,The feast of the Dormition or Assumption of the Blessed Virgin Mary is celebrated by some Christian denominations in the United Kingdom on August 15.,Christian,Observance|Christian,All,1
8/22/11,2011,GB,Janmashtami,"Krishna Janmashtami is a Hindu festival that celebrates the birth of Krishna, the eighth incarnation of the god Vishnu. It is celebrated on the eighth day of the Hindu month of Bhadrava (Bhadrapada), which is usually in August or September.",Hindu Holiday,Observance|Hinduism,All,1
8/26/11,2011,GB,Lailat al-Qadr,"Laylatul Qadr, the Night of Power, is the holiest day of the Islamic calendar year.",Muslim,Observance|Muslim,All,1
8/31/11,2011,GB,Eid ul Fitr,Eid ul-Fitr is a Muslim celebration that marks the end of the month-long fast of Ramadan.,Muslim,Observance|Muslim,All,1
9/1/11,2011,GB,Ganesh Chaturthi,"Ganesh Chaturthi is the great Ganesha festival that celebrates the birthday of Lord Ganesha during the Hindu Month of Bhadra, which usually falls between mid-August and mid-September. It is also known as Vinayaka Chaturthi and can last up to 10 days.",Hindu Holiday,Observance|Hinduism,All,1
9/28/11,2011,GB,Navaratri,Navaratri is a Hindu holiday in the United Kingdom,Hindu Holiday,Observance|Hinduism,All,1
9/29/11,2011,GB,Rosh Hashana,"Rosh Hashanah, also spelled Rosh Hashana, is commonly known as the Jewish New Year.",Jewish Holiday,Observance|Hebrew,All,1
10/4/11,2011,GB,Feast of St Francis of Assisi,"Many churches in the United Kingdom celebrate the Feast of St Francis of Assisi to honor St Francis, the patron saint of animals and the environment, on October 4 each year.",Christian,Observance|Christian,All,1
10/6/11,2011,GB,Dussehra,Dussehra is a Hindu holiday in the United Kingdom,Hindu Holiday,Observance|Hinduism,All,1
10/8/11,2011,GB,Yom Kippur,Yom Kippur is arguably the holiest of the Jewish holidays. It is celebrated in October or November.,Jewish Holiday,Observance|Hebrew,All,1
10/13/11,2011,GB,First day of Sukkot,"Sukkot is a Jewish holiday lasting 7 days. It begins on the 15th of Tishrei, which falls into September or October.",Jewish Holiday,Observance|Hebrew,All,1
10/19/11,2011,GB,Hoshana Rabbah,"Jewish people in the UK celebrate Hoshana Rabbah, also spelled Hoshana Raba, on the last day of the Sukkot festival.",Jewish Holiday,Observance|Hebrew,All,1
10/20/11,2011,GB,Shemini Atzeret,"Shemini Atzeret, also spelled Shmini Atzeret, is a joyous Jewish holiday that immediately follows the Sukkot festival.",Jewish Holiday,Observance|Hebrew,All,1
10/21/11,2011,GB,Simchat Torah,Simchat Torah (Simchas Torah or Simhat Torah) is a Jewish holiday that celebrates the completion of the annual reading of the Torah.,Jewish Holiday,Observance|Hebrew,All,1
10/26/11,2011,GB,Diwali/Deepavali,"Diwali, also known as the Festival of Lights, marks the beginning of the Hindu New Year.",Hindu Holiday,Observance|Hinduism,All,1
11/1/11,2011,GB,All Saints' Day,"Many Christians in the United Kingdom observe All Saints' Day, also known as All Hallows' Day, each year.",Christian,Observance|Christian,All,1
11/2/11,2011,GB,All Souls' Day,All Souls’ Day is observed among some Christian communities in the United Kingdom on November 2 each year.,Christian,Observance|Christian,All,1
11/7/11,2011,GB,Eid al-Adha,Eid ul-Adha is an Islamic festival to remember Ibrahim's willingness to sacrifice his son to God.,Muslim,Observance|Muslim,All,1
11/27/11,2011,GB,First Sunday of Advent,The first Sunday in Advent is the start of the liturgical or church year for many Christians as well as the Christmas season for people in the United Kingdom (UK).,Christian,Observance|Christian,All,1
11/27/11,2011,GB,Muharram,"The first day of Muharram, which is the first month in the Islamic calendar, marks the Islamic New Year.",Muslim,Observance|Muslim,All,1
12/6/11,2011,GB,Ashura,"On Ashura, many Muslims commemorate the martyrdom of Imam Husayn ibn Ali.",Muslim,Observance|Muslim,All,1
12/8/11,2011,GB,Feast of the Immaculate Conception,"The Feast of the Immaculate Conception celebrates the conception of Mary, mother of Jesus Christ, on December 8 each year.",Christian,Observance|Christian,All,1
12/21/11,2011,GB,First Day of Hanukkah,Jewish people around the world celebrate Hanukkah to commemorate an event traditionally termed the miracle of the cruse of oil.,Jewish Holiday,Observance|Hebrew,All,1
12/24/11,2011,GB,Christmas Eve,"Christmas Eve is the day before Christmas Day. It is not a public holiday in England, Scotland, Wales or Northern Ireland.",Christian,Observance|Christian,All,1
12/28/11,2011,GB,Last day of Hanukkah,The eighth and last day of Hanukkah marks the end of a period in which Jews commemorate the miracle of the cruse of oil.,Jewish Holiday,Observance|Hebrew,All,1
1/5/12,2012,GB,Twelfth Night,Twelfth Night is a observance and Christian holiday in the United Kingdom,Christian,Observance|Christian,All,1
1/6/12,2012,GB,Epiphany,Epiphany marks the visit of the Magi to Jesus and celebrates the revelation of God incarnate as Jesus Christ.,Christian,Observance|Christian,All,1
1/7/12,2012,GB,Orthodox Christmas Day,Orthodox Christians in the United Kingdom celebrate the Nativity of Christ (Jesus' birth) on the Orthodox Christmas Day.,Orthodox,Observance|Orthodox,All,1
1/14/12,2012,GB,Orthodox New Year,Orthodox Christians in the United Kingdom mark the start of a new calendar year on either January 1 or 14 in the Gregorian calendar.,Orthodox,Observance|Orthodox,All,1
2/5/12,2012,GB,Milad un Nabi,"Milad un Nabi, also called Mawlid, marks the birthday of prophet Muhammad.",Muslim,Observance|Muslim,All,1
2/8/12,2012,GB,Tu B'Shevat,"Tu B’Shevat is known as the “New Year for Trees”, is one of the four Jewish New Years.",Jewish Holiday,Observance|Hebrew,All,1
2/19/12,2012,GB,Maha Shivaratri,"Maha Shivratri is an annual festival dedicated to Shiva, the Hindu God of destruction. For devotees, is a day of reflection and meditation.",Hindu Holiday,Observance|Hinduism,All,1
2/21/12,2012,GB,Carnival / Shrove Tuesday / Pancake Day,Shrove Tuesday is also known as Pancake Tuesday in the United Kingdom.,Christian,Observance|Christian,All,1
2/22/12,2012,GB,Carnival / Ash Wednesday,Ash Wednesday is a Christian observance in the United Kingdom. It is the first day of Lent.,Christian,Observance|Christian,All,1
3/8/12,2012,GB,Holi,"Holi is a spring festival of colors celebrated by Hindus, Sikhs and others. It celebrates the triumph of good over evil and the upcoming season of spring. The festival can last up to sixteen days.",Hindu Holiday,Observance|Hinduism,All,1
3/8/12,2012,GB,Purim,"Purim commemorates a time when Jewish people were saved from death around the fourth century BCE, according to the Book of Esther.",Jewish Holiday,Observance|Hebrew,All,1
4/1/12,2012,GB,Palm Sunday,Palm Sunday in the United Kingdom celebrates Jesus Christ’s entry into Jerusalem. It is also the Sunday before Easter Sunday.,Christian,Observance|Christian,All,1
4/5/12,2012,GB,Maundy Thursday,Many Christians in the United Kingdom celebrate Maundy Thursday on the Thursday before Good Friday.,Christian,Observance|Christian,All,1
4/7/12,2012,GB,Holy Saturday,Holy Saturday is the day before Easter Sunday in the United Kingdom.,Christian,Observance|Christian,All,1
4/7/12,2012,GB,First day of Passover,Passover marks the Israelites' liberation from slavery and their exodus from Egypt around 3000 years ago.,Jewish Holiday,Observance|Hebrew,All,1
4/8/12,2012,GB,Easter Sunday,Easter Sunday commemorates Jesus Christ's resurrection. The Easter egg hunt is one of the most popular Easter traditions,Christian,Observance|Christian,All,1
4/13/12,2012,GB,Orthodox Good Friday,"Many Orthodox Christians in the United Kingdom remember the events leading up to Jesus Christ's crucifixion on Great Friday, also known as Holy Friday.",Orthodox,Observance|Orthodox,All,1
4/14/12,2012,GB,Last day of Passover,"On the 8th and last day of Passover, Jews in the UK commemorate the Parting of the Red Sea and the Israelites' escape from Egypt.",Jewish Holiday,Observance|Hebrew,All,1
4/14/12,2012,GB,Orthodox Holy Saturday,Many Orthodox Christians in the United Kingdom remember Jesus Christ’s burial and his descent into Hades on Holy Saturday.,Orthodox,Observance|Orthodox,All,1
4/15/12,2012,GB,Orthodox Easter,"Many Orthodox Christians in the United Kingdom commemorate Jesus Christ’s resurrection on Easter Day, also known as Pascha.",Orthodox,Observance|Orthodox,All,1
4/16/12,2012,GB,Orthodox Easter Monday,Many Orthodox churches in the United Kingdom observe Easter Monday on the day after the Orthodox Easter Sunday date.,Orthodox,Observance|Orthodox,All,1
4/26/12,2012,GB,Yom HaAtzmaut,"Celebrated on the fifth day of the Jewish month of Iyar, Yom Ha’Atzmaut is Israel’s Independence Day.",Jewish Holiday,Observance|Hebrew,All,1
5/10/12,2012,GB,Lag B'Omer,Jewish people observe Lag BaOmer on the 18th day of the month of Iyar in the Jewish calendar.,Jewish Holiday,Observance|Hebrew,All,1
5/17/12,2012,GB,Ascension Day,"Ascension Day is the 40th day of Easter and commemorates Jesus Christ’s ascension into heaven, according to Christian belief.",Christian,Observance|Christian,All,1
5/27/12,2012,GB,Pentecost,"Many Christians in the United Kingdom observe Pentecost, also known as Whitsunday or Whit Sunday.",Christian,Observance|Christian,All,1
5/27/12,2012,GB,Shavuot,"Shavuot, also known as the Festival of Weeks, is one of three major Jewish festivals celebrated among Jewish people in the UK.",Jewish Holiday,Observance|Hebrew,All,1
